screen_name,ses
48hours,0.951619428
60Minutes,1.507002763
7eleven,-0.080086263
ABCSharkTank,1.019818917
Abercrombie,-0.198899856
abercrombiekids,-0.007455758
Academy,-0.115977963
AceHardware,-0.589561337
adidasUS,0.445678472
AEO,-0.147530232
Aeropostale,-0.609585106
AFVofficial,-0.014526619
AGT,0.505648684
Albertsons,-0.356210484
AldiUSA,-0.342695929
AmazonFresh,0.95401671
American_Girl,-0.96891474
AmericanIdol,0.649233777
AmericanWifeABC,0.39975337
amgreetings,-1.735770068
Anthropologie,1.381327385
Applebees,-0.673455288
Arbys,-0.43848028
artvan,-0.613216249
AshleyHomeStore,-0.687172408
ASOS_Us,-0.316532919
ATT,0.320349723
BabiesRUs,-0.808240906
BachelorABC,1.247467114
BacheloretteABC,1.248680152
BananaRepublic,0.478628257
BassProShops,-0.522056001
bathbodyworks,-0.287232816
Beautyrest,-1.203316104
BedBathBeyond,-0.816531837
belk,-0.513044838
benandjerrys,0.562043587
Benjamin_Moore,0.149658642
Bergdorfs,1.321641867
BestBuy,0.001392981
BHGLiveBetter,-2.30796191
BHPhotoVideo,0.763854516
big5since55,-1.863536639
bigbangtheory,0.786221902
BigLots,-0.50080943
BLACKANDDECKER,-2.246799334
blackishabc,0.961406573
Bloomingdales,0.810132875
BlueBloods_CBS,0.726896423
BNBuzz,0.356471917
BobsBurgersFOX,0.502092741
BrioItalian,-1.851737345
bucadibeppo,-0.060276385
buildabear,-0.873553932
buildcom,-2.002056447
BurgerKing,-0.306497639
Burlington,-0.719249643
Burn_NoticeTV,0.599442891
BWWings,-0.064526059
Cabelas,-0.287194557
CalvinKlein,0.702101585
canadagoose,1.030033936
CapitalGrille,0.927579613
cariboucoffee,0.761067563
CarlsJr,-0.804976574
Carters,-1.491376946
CBSNews,1.19182388
CentralMarket,1.16369203
century21stores,0.44786672
ChampionUSA,-0.814275825
champssports,-0.090806273
Cheesecake,-0.428810794
ChickfilA,0.070927392
childrensplace,-0.885187521
ChipotleTweets,0.304725484
claires,-1.704119145
CNN,1.144772867
CodeBlackCBS,0.576079125
ColdStone,-1.102937582
Converse,0.236480979
craftsman,-1.767346095
CrateandBarrel,0.417385217
CrimMinds_CBS,0.727465474
Crocs,-0.922448419
CrunchGym,0.696371098
Crutchfield,-2.179722323
cvspharmacy,-0.314280184
DailyCaller,1.108163575
DairyQueen,-0.610150519
DancingABC,0.764114791
DennysDiner,-0.677279351
DEWALTtough,-1.758489667
DICKS,0.064748713
Dillards,-0.148962861
DippinDots,-0.70740167
Dockers,-1.887507714
DollarGeneral,-1.045488401
DollarTree,-0.570479172
dominos,-0.43262072
DrKenABC,0.535068664
dunkindonuts,0.017664882
EarthFare,-0.216019825
eddiebauer,-0.141524591
EmpireFOX,0.643732666
espn,0.926826358
FamilyFeud,-0.0553707
FamilyGuyonFOX,0.470660414
FamousFootwear,-1.113842586
FinishLine,0.01313203
fivebelow,-1.170450047
Flywheel,1.848508494
FoodCity,0.002506687
FoodLion,-0.407774117
footlocker,0.16333404
Forever21,0.551755177
FoxNews,0.956638941
Fred_Meyer,-0.096672845
FreePeople,1.270760291
freespeechtv,1.557853769
FreshOffABC,0.81143109
fryselectronics,-2.428407341
FusionNews,1.481340432
Gap,0.369835753
GiantFoodStores,0.144465525
GNCLiveWell,0.243766197
gordmans,-0.430763661
GreysABC,0.960794906
Gymboree,-1.231894082
Hallmark,-1.003218221
Hanes,-1.715021493
HarborFreight,-0.443072492
havertys,-0.504330344
HawaiiFive0CBS,0.685866225
HellsKitchenFOX,0.307651622
Helzberg,-2.150379966
hmusa,0.37967957
HomeDepot,-0.22076533
HomeGoods,0.174669105
Hooters,-0.207075919
houzz,0.912303293
hushpuppies_usa,-2.954323377
HusqvarnaUSA,-0.891317443
IKEAUSA,0.55627358
JackBox,-0.670096516
jasonsdeli,-0.257742641
jcpenney,-0.223975595
jcrew,1.094530483
JohnDeere,0.072812573
JosABank,-1.038370899
journeys,-1.045360583
JudgeJudy,0.484392766
KayJewelers,-1.211038878
KendraScott,0.822760683
kfc,-0.438884442
Kmart,-0.888684711
Kohler,-0.250824061
Kohls,-0.080024408
kroger,-0.165181816
KUWTK,0.74573994
LAFitness,0.910723352
lanebryant,-0.033096395
lazboy,-2.125609291
LeeJeans,-1.141473899
LethalWeaponFOX,0.118912772
letsmakeadeal,-0.111218392
LEVIS,0.22437802
littlecaesars,-0.90073665
LLBean,0.281308102
LongHornSteaks,-0.720162821
Lowes,-0.409332856
MacGyverCBS,0.2210695
Macys,0.363670298
MadamSecretary,1.271264618
MadMen_AMC,1.678149977
Maggianos,0.168056154
MakitaTools,-1.54270039
marchmadness,1.115869891
marshalls,-0.030295278
Mattel,-0.537408512
MattressFirm,-0.567922903
McDonalds,0.015760953
meijer,-0.37603223
menswearhouse,-0.491277054
MichaelKors,1.169656651
microcenter,-2.425276596
MieleUSA,0.117310106
MLB,0.857063231
MLS,1.175807325
Modells,-1.090436217
ModernFam,1.142395619
moen,-0.561829577
Mortons,0.428717175
MSNBC,1.400030742
myfamilydollar,-1.506638607
myrackroomshoes,-1.334801423
MythBusters,0.972407672
NASCAR,0.3268435
NatEnquirer,0.850651327
NaturalGrocers,0.788056462
nautica,0.03281331
NBA,0.865080464
NBCBlacklist,0.773039044
NBCBlindspot,0.676482992
nbcbrooklyn99,0.941690888
NBCLilBigShots,0.086190058
NBCNews,1.207034506
nbcparenthood,1.326485165
nbcsvu,0.82519541
nbcthegoodplace,1.404209058
NBCThisisUs,1.146027232
NCAAFootball,0.870523426
ncaawbb,1.118913115
NCIS_CBS,0.663034447
NCISNewOrleans,0.35097975
neimanmarcus,0.935973364
New_GirlTV,1.336708512
newbalance,0.36064484
Newegg,-1.253647991
newsmax,0.95305124
NFL,0.861928179
NHL,0.941065125
Nike,0.803514377
Nordstrom,1.040152693
nordstromrack,1.089267139
NPR,1.642235922
nytimes,1.286994959
officedepot,-0.826092245
OfficeMax,-0.972811863
OldNavy,-0.033106475
olivegarden,-0.613110541
OlliesOutlet,-1.048859259
onepeloton,1.755460916
PandaExpress,-0.948695688
PANDORA_NA,-0.798733978
panerabread,-0.107020864
parksandrecnbc,1.44261677
PartyCity,-1.439045684
pawnstars,0.178087736
PCRichardandSon,-2.581713564
peetscoffee,0.844113717
PeiWei,-0.304512931
Petco,-0.255543782
PetSmart,-0.117801167
PFChangs,-0.579136428
PhilzCoffee,1.718265977
pier1,-0.106446374
Pinkberry,0.879270576
pizzahut,-0.422781673
PlanetFitness,0.15617825
potterybarn,0.0306995
PriceIsRight,-0.109929753
Publix,0.630037141
RadioShack,-0.507951258
RalphLauren,0.79186138
ray_ban,0.56613719
raymourflanigan,-1.839112543
REI,1.285314365
RIDGIDtoday,-1.575070668
riteaid,-0.910971495
RoadshowPBS,0.795265107
RYOBItoolsusa,-1.911158088
saks,0.915159496
SamsClub,-0.516639086
SamsoniteUSA,-1.742815079
SaveALot,-2.303081902
Sealy,-1.274264028
Sears,-0.697730117
SertaMattresses,-2.581237863
shakeshack,0.868623516
SherwinWilliams,-0.34583485
ShoeCarnival,-1.523714131
shopDisney,0.07974276
ShopRiteStores,-0.186198714
SKECHERSUSA,-1.892958433
SkilTools,-1.73863001
sleepnumber,-1.314604273
sonicdrivein,-0.64280786
soulcycle,1.850263347
souplantation,0.001034757
sproutsfm,0.258853851
StaplesStores,-0.473185191
Star_News,0.099639444
Starbucks,0.980701931
SUBWAY,0.035764811
tacobell,-0.157267474
Target,0.543263411
TempurPedic,-0.95181741
ThatsJared,-1.707566984
TheGoldbergsABC,0.641428549
TheGoodWife_CBS,1.345879711
thehill,1.679101982
TheMeltingPot,-0.528562064
TheMiddle_ABC,0.740617665
thenorthface,0.84881224
TheOnion,1.418675282
ThePGA,0.827270998
TheSimpsons,0.363136786
TheYankeeCandle,-1.169526714
TiffanyAndCo,1.031801158
TigerDirect,-1.692482048
TijuanaFlats,0.634331343
Timberland,0.03040127
tjmaxx,0.118988853
TommyHilfiger,0.599119872
ToysRUs,-0.071165234
TrueValue,-1.104089193
TuesdayMorning,-2.647965426
UnderArmour,0.58255576
undercover_cbs,0.250862909
UnoChicagoGrill,-0.044895407
UrbanOutfitters,0.599343586
usabasketball,0.860188586
USATODAY,1.172246002
USMNT,1.340822231
USWNT,1.501755011
VANS_66,0.287873537
VictoriasSecret,0.814252243
VitaminShoppe,-0.528713278
VZWSupport,0.458174292
Walgreens,0.010855112
Walmart,-0.007067562
WarbyParker,1.77789634
washingtonpost,1.4431104
Wegmans,1.188155989
Wendys,0.06571195
WestworldHBO,1.205023005
WheelofFortune,-0.410499091
WholeFoods,1.419629952
WilliamsSonoma,0.247255117
WinCoFoods,-0.101993111
WinnDixie,-0.514732401
WNBA,1.045894519
worldnetdaily,0.808391967
Wrangler,-2.317791752
WSJ,1.425967081
ZalesJewelers,-1.010827195
zarausa,0.933202164
zennioptical,-0.001881828
ZoesKitchen,0.744753185